Collocation,2013-09-08,,,,,,,,,,,,,,,,
KeyWord,σωφρ,,,,,,,,,,,,,,,,
Instances,17,,,,,,,,,,,,,,,,
Files,3,,,,,,,,,,,,,,,,
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,
ἄφρων,σωφρ,40.0601110905409,3,1,2,0,1,0,0,0,0,0,0,2,0,0,"σώφρων-ἄφρων (1), σώφρων-ἄφρονι (1), σώφρονος-ἄφρονος (1)"
ὥσπερ,σωφρ,25.9530680431053,2,1,1,0,0,1,0,0,0,0,1,0,0,0,σώφρων-ὥσπερ (2)
ὅταν,σωφρ,25.4816520251334,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"σώφρονος-ὅταν (1), σώφρων-ὅταν (1)"
ἀστός,σωφρ,23.3075395943597,2,2,0,2,0,0,0,0,0,0,0,0,0,0,σαόφρονες-ἀστοί (2)
ἡγεμών,σωφρ,23.0576404239982,2,0,2,0,0,0,0,0,0,2,0,0,0,0,σαόφρονες-ἡγεμόνες (2)
δικαι,σωφρ,21.9080953728408,2,2,0,1,0,1,0,0,0,0,0,0,0,0,"σωφροσύνην-δίκαιον (1), σώφρονα-δικαίως (1)"
ἤν,σωφρ,21.5605225684121,2,1,1,0,0,1,0,0,0,0,0,1,0,0,σωφροσύνην-ἤν (2)
ὅδε,σωφρ,20.756258552894,3,2,1,0,0,0,0,2,0,0,0,0,1,0,"σαόφρονες-οἵδε (2), σώφρονι-τῆσδε (1)"
τρέπω,σωφρ,19.8323289910331,2,0,2,0,0,0,0,0,0,0,0,2,0,0,σαόφρονες-τετράφαται (2)
ἔχω,σωφρ,19.4991000024602,3,1,2,0,1,0,0,0,0,0,1,0,0,1,"σωφροσύνης-ἔχηις (1), σωφροσύνην-ἔχοις (1), σωφροσύνην-ἔχειν (1)"
χάριτές,σωφρ,19.0742790382355,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνη-χάριτές (1)
ἔμπρακτος,σωφρ,19.0742790382355,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρων-ἔμπρακτον (1)
μέν,σωφρ,18.7705903882161,4,2,2,0,2,0,0,0,0,1,0,1,0,0,"σαόφρονες-μέν (2), σωφροσύνην-μέν (1), σώφρονι-μέν (1)"
ἔτης,σωφρ,18.0741997184232,2,2,0,0,0,0,2,0,0,0,0,0,0,0,σαόφρονες-ἔθ' (2)
θυμός,σωφρ,18.0602111350745,3,1,2,1,0,0,0,0,0,1,0,0,0,1,"σαόφρων-θυμῷ (1), σώφρονα-θυμόν (1), σωφροσύνης-θυμῶι (1)"
εἰ,σωφρ,17.2065727990121,3,2,1,0,0,0,1,1,0,0,0,1,0,0,"σωφροσύνην-εἰ (1), σαόφρονα-εἰ (1), σώφρων-εἰ (1)"
πολύς,σωφρ,16.8140834895894,3,0,3,0,0,0,0,0,0,0,0,0,2,1,"σαόφρονες-πολλήν (2), σώφρων-πολλοῖς' (1)"
εἰς,σωφρ,16.8024211628363,3,1,2,1,0,0,0,0,0,0,0,0,0,2,"σαόφρονες-εἰς (2), σώφρονι-εἰς (1)"
ἀνέω,σωφρ,16.301830464974,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρων-ἀνοίης (1)
ῥαδαμάνθυος,σωφρ,16.301830464974,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνην-ῥαδαμάνθυος (1)
ἀντλέω,σωφρ,16.301830464974,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρων-ἄντλει (1)
ρί,σωφρ,16.301830464974,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρονος-ρί (1)
ἄχαρις,σωφρ,16.301830464974,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρονος-ἄχαρι (1)
καί,σωφρ,16.1535776620731,5,3,2,0,0,0,0,3,0,0,1,0,0,1,"σώφρων-καί (4), σώφρονος-καί (1)"
εἰμί,σωφρ,15.3250873330981,4,2,2,0,1,0,0,1,0,1,1,0,0,0,"σωφροσύνην-ἦν (1), σαόφρονα-ἔμμεναι (1), σαόφρων-ἐστί (1), σώφρων-ἐών (1)"
ράν,σωφρ,15.2554743271321,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονος-ράν (1)
ὦ,σωφρ,15.2483135191724,2,0,2,0,0,0,0,0,0,1,0,1,0,0,"σωφροσύνη-ὦ (1), σωφροσύνης-ὦ (1)"
πείθω,σωφρ,15.1644034367055,2,1,1,0,0,0,1,0,0,1,0,0,0,0,"σώφρονι-πειθόμενος (1), σαόφροσιν-πειθόμενος (1)"
νας,σωφρ,14.5760183297098,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σώφρονος-νας (1)
ὄφελος,σωφρ,14.5760183297098,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνην-ὄφελος (1)
μῦθος,σωφρ,14.2368644988164,2,2,0,0,0,0,0,2,0,0,0,0,0,0,"σώφρονι-μύθωι (1), σαόφροσιν-μύθοισι (1)"
ποιόω,σωφρ,14.0708154011518,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σώφρονα-ποιοῦ (1)
ἀλλά,σωφρ,14.0472195073962,3,1,2,0,0,0,0,1,0,1,0,1,0,0,"σώφρων-ἀλλά (1), σαόφρων-ἀλλά (1), σαόφροσιν-ἀλλά (1)"
δέ,σωφρ,13.9670836087316,6,3,3,0,1,0,1,1,0,0,2,1,0,0,"σαόφρονες-δέ (2), σωφροσύνη-δ' (1), σώφρων-δέ (1), σώφρονι-δέ (1), σαόφρων-δ' (1)"
μηχανή,σωφρ,13.6682452820241,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρων-μαχανάν (1)
χίρων,σωφρ,13.3334914846346,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρων-χίρων (1)
μέρος,σωφρ,13.0469375122339,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρων-μέρος (1)
ἒ,σωφρ,13.0469375122339,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονος-ἔ (1)
γίγνομαι,σωφρ,13.0090067125857,2,1,1,0,1,0,0,0,0,0,0,0,1,0,"σαόφροσιν-ἔγεντο (1), σώφρων-ἐγένου (1)"
μεθύω,σωφρ,12.5738809313625,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρων-μεθύηι (1)
οὔποτε,σωφρ,12.3736864123493,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σαόφροσιν-οὔποτε (1)
ἀτασθαλία,σωφρ,11.7283403733745,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονα-ἀτασθαλίης (1)
φίλος,σωφρ,11.7039927309379,2,1,1,1,0,0,0,0,0,0,0,0,1,0,"σώφρονα-φίλ' (1), σωφροσύνη-φίλε (1)"
ἐτήτυμος,σωφρ,11.5950482552871,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σαόφρων-ἐτήτυμον (1)
ἄντρον,σωφρ,11.5950482552871,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρων-ἄντρον (1)
ἔργμα,σωφρ,11.2415038822219,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφροσύνης-ἔργματα (1)
διδάσκω,σωφρ,11.1363322343677,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σαόφροσιν-διδάσκων (1)
τελευτή,σωφρ,11.0364306848496,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρονι-τελευτήν (1)
χ,σωφρ,10.7636526860297,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρονος-χ (1)
ἁμαρτάνω,σωφρ,10.6804353864864,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρων-ἥμαρτε (1)
ἐκτός,σωφρ,10.6804353864864,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονα-ἐκτός (1)
ἐννοσίγαιος,σωφρ,10.6005542008206,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σαόφρονα-ἐννοσίγαι' (1)
μέτρον,σωφρ,10.4498014571145,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνης-μέτρ' (1)
αἰνέω,σωφρ,10.3784978585318,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονι-αἰνήσεις (1)
ἐ,σωφρ,10.1163628147915,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονος-ἐ (1)
πολλάκις,σωφρ,9.99719579610974,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρων-πολλάκι (1)
νεμεσάω,σωφρ,9.83084233105183,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σαόφρων-νεμεσσᾶται (1)
θ,σωφρ,9.58120377920568,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρονος-θ (1)
δή,σωφρ,9.47468548640609,2,0,2,0,0,0,0,0,0,0,0,1,1,0,"σώφρονος-δή (1), σαόφρονα-δή (1)"
μυθέω,σωφρ,9.40186040475965,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σαόφρονα-μυθήσαιο (1)
ὁμῶς,σωφρ,9.40186040475965,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονος-ὁμῶς (1)
χρῆμα,σωφρ,9.31791467219591,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονα-χρήματα (1)
ἡβάω,σωφρ,9.04924910329282,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνης-ἥβης (1)
δοκέω,σωφρ,9.04924910329282,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρων-δόξα (1)
λαγχάνω,σωφρ,8.94437947589904,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρων-ἔλαχες (1)
μ,σωφρ,8.60131442081183,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρονος-μ (1)
νήπιος,σωφρ,8.57288220897317,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρων-νήπιος (1)
ἀνήρ,σωφρ,8.4371395856142,2,2,0,0,0,1,0,1,0,0,0,0,0,0,"σωφροσύνη-ἀνδρῶν (1), σώφρονος-ἀνδρός (1)"
ς,σωφρ,8.30899127200246,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σαόφροσιν-ς (1)
ποιέω,σωφρ,8.16605627164245,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σαόφροσιν-ποιήσει (1)
τρέφω,σωφρ,8.12061989493668,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σωφροσύνην-τρεφθῆι (1)
πίνω,σωφρ,8.09828771371394,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σώφρονος-πίνηι (1)
εἷς,σωφρ,8.07620523311198,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρων-μιῆι (1)
σύ,σωφρ,8.02506781276315,2,0,2,0,0,0,0,0,0,0,0,0,1,1,"σώφρων-σύ (1), σαόφρονα-σοί (1)"
ναίω,σωφρ,7.90791187621653,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρων-ἔναι' (1)
οὖν,σωφρ,7.86798959132284,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρων-οὖν (1)
τε,σωφρ,7.83084254991263,3,1,2,0,0,0,1,0,0,0,1,0,1,0,"σωφροσύνη-τ' (1), σωφροσύνην-τε (1), σωφροσύνην-τ' (1)"
οἴχομαι,σωφρ,7.80958197172731,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σωφροσύνη-ὤιχετο (1)
ἄν,σωφρ,7.62985067535192,2,1,1,0,0,0,1,0,0,0,0,0,1,0,"σωφροσύνης-ἄν (1), σαόφρονα-ἄν (1)"
οὕτως,σωφρ,7.57476376742125,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρων-οὕτως (1)
ἠώς,σωφρ,7.57476376742125,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σωφροσύνης-ἕως (1)
γάρ,σωφρ,7.52800427563488,2,2,0,0,0,2,0,0,0,0,0,0,0,0,σαόφρονες-γάρ (2)
ὑπέρ,σωφρ,7.34976169001311,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονος-ὑπέρ (1)
οἶνος,σωφρ,7.31962315551937,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρονος-οἶνος (1)
νύξ,σωφρ,7.06738535314798,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σώφρων-νυκτί (1)
χόω,σωφρ,6.96492387447506,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρονα-ἔχων (1)
τελέω,σωφρ,6.8675640700385,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνης-τελέσαντ' (1)
ἀγορεύω,σωφρ,6.8675640700385,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σαόφρων-ἀγορεύεις (1)
ὄλλυμι,σωφρ,6.71902708150446,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρων-ὤλεσε (1)
αὐτοῦ,σωφρ,6.66477970127016,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σωφροσύνην-αὐτοῦ (1)
νόος,σωφρ,6.59128463361412,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνην-νόος (1)
ἀπόλλων,σωφρ,6.59128463361412,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σαόφρονα-ἀπόλλων (1)
πρίν,σωφρ,6.31333206128329,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σώφρων-πρίν (1)
πόλις,σωφρ,6.20058674551547,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονι-πόληος (1)
ἔτι,σωφρ,6.11811975482851,1,0,1,0,0,0,0,0,0,0,0,1,0,0,σώφρων-ἔτι (1)
ν,σωφρ,5.88280006404966,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σώφρονος-ν (1)
ἐγώ,σωφρ,5.85679108463228,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"σαόφρονα-με (1), σώφρονος-με (1)"
τότε,σωφρ,5.75161310844123,1,0,1,0,0,0,0,0,0,1,0,0,0,0,σώφρων-τότε (1)
ἀεί,σωφρ,5.7119814325124,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρονα-ἀεί (1)
γαῖα,σωφρ,5.51934703160077,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνη-γῆν (1)
παῖς,σωφρ,5.26518031395972,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σωφροσύνης-παῖ (1)
κακός,σωφρ,4.92963062506169,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σαόφροσιν-κακός (1)
οὗτος,σωφρ,4.92099280375987,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σώφρων-ταῦτα (1)
ἑταῖρος,σωφρ,4.88683401420712,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σώφρονα-ἑταῖρε (1)
πρός,σωφρ,4.78393641486764,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-πρός (1)
υἱός,σωφρ,4.24257915746421,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σαόφρων-υἱός (1)
μέγας,σωφρ,3.75356190651655,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφροσύνη-μεγάλη (1)
θεός,σωφρ,3.50552618503571,1,1,0,0,1,0,0,0,0,0,0,0,0,0,σωφροσύνη-θεός (1)
ὁ,σωφρ,3.45115109253675,2,1,1,0,0,1,0,0,0,0,0,0,0,1,"σώφρων-τό (1), σαόφροσιν-τόν (1)"
ζεύς,σωφρ,3.30771156586707,1,0,1,0,0,0,0,0,0,0,1,0,0,0,σώφρονι-ζεύς (1)
οὐδέ,σωφρ,3.01378236711025,1,1,0,0,0,0,1,0,0,0,0,0,0,0,σωφροσύνην-οὐδ' (1)
ἐπί,σωφρ,2.61802998650819,1,1,0,0,0,0,0,1,0,0,0,0,0,0,σωφροσύνην-ἐπί (1)
οὐ,σωφρ,2.43912338651717,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σαόφρονα-οὐκ (1)
ἄρα,σωφρ,2.27130741719157,1,1,0,1,0,0,0,0,0,0,0,0,0,0,σωφροσύνην-ἄρ' (1)
ὡς,σωφρ,2.08713829610497,1,1,0,0,0,1,0,0,0,0,0,0,0,0,σαόφρων-ὡς (1)
ἐν,σωφρ,1.73841112758964,1,0,1,0,0,0,0,0,0,0,0,0,1,0,σαόφρων-ἐνί (1)
πλείο,σωφρ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,σωφροσύνην-πλείο (1)
σωφρ,σωφρ,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,"σαόφρων-σαόφρων (0), σαόφρονες-σαόφρονες (0), σώφρων-σώφρων (0), σαόφροσιν-σαόφροσιν (0), σώφρονα-σώφρονα (0), σώφρονος-σώφρονος (0), σωφροσύνης-σωφροσύνης (0), σωφροσύνη-σωφροσύνη (0), σωφροσύνην-σωφροσύνην (0), σαόφρονα-σαόφρονα (0), σώφρονι-σώφρονι (0)"
