Collocation,2015-02-01
KeyWord,ευσεβ
Instances,21
Files,1
Word,Keyword,Log-Likelihood,LR Total,Left Total,Right Total,L5,L4,L3,L2,L1,Key,R1,R2,R3,R4,R5,""
ὁ,ευσεβ,107.662767501548,21,12,9,3,1,0,2,6,0,1,1,1,6,0,"εὐσεβείας-τῆς (5), εὐσεβές-τό (4), εὐσεβῆ-τά (2), εὐσεβεῖς-τοῖς (1), εὐσεβεῖς-τῶν (1), εὐσεβεῖν-τά (1), εὐσεβοῦς-τό (1), εὐσεβῶν-τῶν (1), εὐσεβείας-τά (1), εὐσεβεῖς-τούς (1), εὐσεβῶν-τόν (1), εὐσέβειαν-τήν (1), εὐσεβηθῇ-τοῖς (1)"
καί,ευσεβ,63.973282540217,15,7,8,0,2,0,1,4,0,3,1,4,0,0,"εὐσεβείας-καί (3), εὐσεβές-καί (2), εὐσεβῆ-καί (2), εὐσέβειαν-καί (2), εὐσεβής-καί (2), εὐσεβηθῇ-καί (1), εὐσέβεια-καί (1), εὐσεβῶς-καί (1), εὐσεβοῦς-καί (1)"
θεός,ευσεβ,38.284221759066,5,2,3,0,1,0,0,1,0,1,1,1,0,0,"εὐσεβείας-θεούς (1), εὐσέβειαν-θεούς (1), εὐσέβεια-θεούς (1), εὐσέβεια-θεῶν (1), εὐσεβεῖν-θεούς (1)"
οσι,ευσεβ,31.8961576800793,3,1,2,0,0,1,0,0,0,0,1,1,0,0,"εὐσέβεια-ὁσιότης (1), εὐσεβῆ-ὅσια (1), εὐσεβές-ὅσιον (1)"
ἀσεβής,ευσεβ,28.1931435894221,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"εὐσεβοῦς-ἀσεβεῖ (1), εὐσεβές-ἀσεβές (1)"
ἀσέβεια,ευσεβ,28.1931435894221,2,1,1,0,0,1,0,0,0,0,0,0,0,1,"εὐσεβείας-ἀσεβείας (1), εὐσεβεῖς-ἀσεβείας (1)"
τε,ευσεβ,21.7471947409213,5,4,1,1,0,0,2,1,0,1,0,0,0,0,"εὐσεβές-τε (1), εὐσεβῆ-τε (1), εὐσέβεια-τε (1), εὐσεβείας-τε (1), εὐσεβῶς-τε (1)"
δικαι,ευσεβ,20.5586463529617,3,2,1,0,0,1,1,0,0,1,0,0,0,0,"εὐσεβής-δίκαιος (1), εὐσεβές-δικαίου (1), εὐσέβεια-δικαιοσύνη (1)"
αὐτόχειρος,ευσεβ,20.5476393997669,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβείας-αὐτόχειρος (1)
αἰσχύνομαί,ευσεβ,20.5476393997669,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβῶς-αἰσχύνομαί (1)
ἀξιοῦτέ,ευσεβ,17.7751180492342,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβοῖεν-ἀξιοῦτέ (1)
ἐπιπνέω,ευσεβ,16.7286891378462,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβῶν-ἐπέπνευσεν (1)
οὐδέτεροι,ευσεβ,16.7286891378462,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβοῖεν-οὐδέτεροι (1)
“ἀλλ,ευσεβ,16.7286891378462,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβηθῇ-“ἀλλ (1)
σχέσις,ευσεβ,16.7286891378462,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσέβεια-σχέσις (1)
ὀρθός,ευσεβ,16.446473127231,2,1,1,0,0,1,0,0,0,0,0,0,1,0,"εὐσεβῶς-ὀρθόν (1), εὐσεβείας-ὀρθότατα (1)"
εἰς,ευσεβ,16.1684936471283,3,2,1,0,0,1,1,0,0,0,0,1,0,0,"εὐσεβῶν-εἰς (1), εὐσεβεῖς-εἰς (1), εὐσέβειαν-εἰς (1)"
τις,ευσεβ,16.0899199042469,4,3,1,1,0,0,2,0,0,0,0,0,1,0,"εὐσεβέστερον-του (1), εὐσεβές-τι (1), εὐσεβείας-τι (1), εὐσεβῶς-τι (1)"
χῶρος,ευσεβ,16.0491603668779,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβῶν-χῶρον (1)
ἵνα,ευσεβ,15.948893673718,2,1,1,0,0,1,0,0,0,0,0,1,0,0,"εὐσεβεῖν-ἵνα (1), εὐσεβηθῇ-ἵνα (1)"
ἡμῶν,ευσεβ,14.9102675616741,2,2,0,0,1,0,0,1,0,0,0,0,0,0,"εὐσεβοῖεν-ἡμῶν (1), εὐσέβειαν-ἡμῶν (1)"
τίς,ευσεβ,14.9013774245977,4,3,1,0,0,1,1,1,0,0,0,0,0,1,"εὐσεβοῦς-τοῦ (2), εὐσεβές-τοῦ (1), εὐσεβείας-τοῦ (1)"
ἡμός,ευσεβ,14.6848777085543,2,1,1,0,1,0,0,0,0,0,1,0,0,0,"εὐσέβειαν-ἡμᾶς (1), εὐσεβείας-ἡμᾶς (1)"
αξ,ευσεβ,14.5197884403169,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβῶς-αξ (1)
ἀτυχέω,ευσεβ,14.5197884403169,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβηθῇ-ἀτυχήσεις (1)
παρά,ευσεβ,14.0894129928201,2,1,1,1,0,0,0,0,0,1,0,0,0,0,"εὐσεβῆ-παρά (1), εὐσεβείας-παρά (1)"
πεῖσις,ευσεβ,13.8463190048933,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβείας-πείσῃ (1)
περί,ευσεβ,13.1433579940349,3,0,3,0,0,0,0,0,0,1,1,0,0,1,"εὐσεβεῖν-περί (1), εὐσεβές-περί (1), εὐσέβεια-περί (1)"
εὐεργεσία,ευσεβ,13.0673169475049,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσέβεια-εὐεργεσίας (1)
οὗτος,ευσεβ,13.003030711785,4,1,3,0,0,0,0,1,0,0,1,0,0,2,"εὐσεβηθῇ-τοῦτο (1), εὐσεβείας-τοῦτο (1), εὐσεβείας-τούτων (1), εὐσεβῶς-τοῦτο (1)"
σύ,ευσεβ,12.9623888321221,3,2,1,0,2,0,0,0,0,0,0,1,0,0,"εὐσεβῶς-σοί (1), εὐσεβῶς-σε (1), εὐσεβῆ-σοῦ (1)"
ἀξίοχος,ευσεβ,12.9423028137535,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβῶς-ἀξίοχε (1)
μή,ευσεβ,12.8593847602606,3,0,3,0,0,0,0,0,0,1,0,1,0,1,"εὐσεβοῖεν-μή (1), εὐσεβῆ-μή (1), εὐσεβεῖς-μή (1)"
ἥρα,ευσεβ,12.322255672887,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβείας-ἥρας (1)
γέρης,ευσεβ,12.322255672887,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβείας-γέρας (1)
δέ,ευσεβ,12.1693244986236,4,2,2,2,0,0,0,0,0,0,1,0,1,0,"εὐσεβείας-δέ (2), εὐσεβεῖς-δέ (1), εὐσέβεια-δέ (1)"
ἀνήρ,ευσεβ,12.1531425230205,2,2,0,0,1,0,1,0,0,0,0,0,0,0,"εὐσεβής-ἀνήρ (1), εὐσεβεῖν-ἄνδρα (1)"
θέμις,ευσεβ,12.152049023658,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσέβειαν-θέμιν (1)
ἄφθονος,ευσεβ,12.152049023658,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβῶν-ἄφθονοι (1)
γονεύς,ευσεβ,11.7809085380286,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβείας-γονέας (1)
ποῖόν,ευσεβ,11.7809085380286,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβές-ποῖόν (1)
διισχυρίζομαι,ευσεβ,11.7142968997359,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβές-διισχυρίζου (1)
οἰκίζω,ευσεβ,11.6498369518667,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβῶν-οἰκίζονται (1)
ἔνθα,ευσεβ,11.5873941536993,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβῶν-ἔνθα (1)
παρακελεύομαι,ευσεβ,11.3555029798299,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβεῖν-παρακελεύεσθαι (1)
ἀριστερός,ευσεβ,11.1977191474289,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβείας-ἀριστερά (1)
ἐθίζω,ευσεβ,11.0990633703768,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβοῖεν-ἐθίζεσθαι (1)
φονόω,ευσεβ,11.0515072029084,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβείας-φόνου (1)
εὐθύφρων,ευσεβ,10.915286956355,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσέβεια-εὐθύφρων (1)
ἀρχαῖος,ευσεβ,10.7070942539722,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσέβειαν-ἀρχαίαν (1)
εὐχή,ευσεβ,10.6295469067991,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβῶς-εὐχαῖς (1)
τροπόω,ευσεβ,10.6295469067991,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβεῖς-τρόπων (1)
τείνω,ευσεβ,10.5918761976063,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσέβειαν-τείνει (1)
ἀγαθός,ευσεβ,10.5764360260218,2,1,1,1,0,0,0,0,0,0,1,0,0,0,"εὐσεβής-ἀγαθός (1), εὐσεβῶν-ἀγαθός (1)"
σκοπός,ευσεβ,10.2815050389618,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβείας-σκοποῦ (1)
μνήμη,ευσεβ,9.93104216270149,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσέβεια-μνήμη (1)
νέμω,ευσεβ,9.93104216270149,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβείας-νέμων (1)
εὔχομαι,ευσεβ,9.87819292396307,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβῶς-εὐχομένους (1)
μέν,ευσεβ,9.86358888819814,3,0,3,0,0,0,0,0,0,0,0,1,0,2,"εὐσεβεῖν-μέν (1), εὐσεβῶς-μέν (1), εὐσεβῶν-μέν (1)"
ἀμελέω,ευσεβ,9.85228555090725,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβέστερον-ἀμελοῦντες (1)
ἐγώ,ευσεβ,9.65463224798441,3,1,2,0,1,0,0,0,0,0,0,0,1,1,"εὐσεβοῖεν-με (1), εὐσεβέστερον-ἡμεῖς (1), εὐσεβηθῇ-μου (1)"
οὕτως,ευσεβ,9.40383416041732,2,0,2,0,0,0,0,0,0,1,0,0,1,0,"εὐσέβεια-οὕτω (1), εὐσέβειαν-οὕτω (1)"
θνητός,ευσεβ,9.2184990812093,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβείας-θνητῷ (1)
μήτηρ,ευσεβ,9.00577035918832,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβείας-μητρός (1)
καθίστημι,ευσεβ,8.87565004266798,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσέβειαν-καταστήσας (1)
λοιπός,ευσεβ,8.58343026787043,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβηθῇ-λοιποῖς (1)
πρός,ευσεβ,8.48355573602021,2,2,0,0,0,1,1,0,0,0,0,0,0,0,εὐσέβειαν-πρός (2)
τῷ,ευσεβ,8.31702580116689,2,1,1,0,0,1,0,0,0,0,1,0,0,0,"εὐσεβοῦς-τῷ (1), εὐσεβείας-τῷ (1)"
πάντως,ευσεβ,8.28162692859769,1,0,1,0,0,0,0,0,0,0,0,1,0,0,εὐσεβής-πάντως (1)
ἐπιμελέομαι,ευσεβ,8.2584377694875,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβέστερον-ἐπιμελούμενοι (1)
μετ,ευσεβ,8.24694440513849,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσέβεια-μετ (1)
ὦ,ευσεβ,7.72958017140627,2,0,2,0,0,0,0,0,0,0,1,0,0,1,"εὐσέβεια-ὦ (1), εὐσεβοῖεν-ὦ (1)"
”,ευσεβ,7.53346735239029,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβηθῇ-” (1)
γίγνομαι,ευσεβ,7.33596462570131,2,1,1,0,0,1,0,0,0,0,1,0,0,0,"εὐσεβείας-γενέσθαι (1), εὐσεβοῦς-γενομένῳ (1)"
σω,ευσεβ,7.11558790691197,2,2,0,1,1,0,0,0,0,0,0,0,0,0,"εὐσεβοῦς-σω (1), εὐσεβής-σω (1)"
παρέχω,ευσεβ,7.00490432232618,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσέβειαν-παρεχομένων (1)
ποῖος,ευσεβ,6.63906858302653,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβής-ποῖον (1)
βιόω,ευσεβ,6.43759144470096,1,1,0,0,0,0,0,1,0,0,0,0,0,0,εὐσεβῶς-βεβιωκότα (1)
μέρος,ευσεβ,6.41044100373983,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσεβές-μέρος (1)
πείθω,ευσεβ,6.3441814314574,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβεῖς-πειθομένοις (1)
δύναμις,ευσεβ,6.14620124548674,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσέβεια-δύναμις (1)
πότε,ευσεβ,5.97737430594862,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβείας-ποτε (1)
ἅπας,ευσεβ,5.96305875293911,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβεῖν-ἅπαντα (1)
χρή,ευσεβ,5.87592013552785,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβεῖν-χρή (1)
γένος,ευσεβ,5.81553808040917,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβείας-γένει (1)
οὐδ,ευσεβ,5.77307979017496,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβέστερον-οὐδ (1)
τυγχάνω,ευσεβ,5.72522907331586,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβείας-τυγχάνοι (1)
μανθάνω,ευσεβ,5.70641821995378,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβῆ-μεμαθηκότας (1)
ἆρ,ευσεβ,5.57384521327913,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβής-ἆρ (1)
πράσσω,ευσεβ,5.5052300542593,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβέστερον-πράττοιμεν (1)
ἐπεί,ευσεβ,5.4718262553215,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβείας-ἐπειδή (1)
μηδείς,ευσεβ,5.41474282555282,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβείας-μηδείς (1)
εἰμί,ευσεβ,5.39111247844994,3,1,2,0,0,0,0,1,0,1,1,0,0,0,"εὐσεβές-εἶναι (2), εὐσεβείας-εἶναι (1)"
μᾶλλον,ευσεβ,5.23597037792206,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσέβειαν-μᾶλλον (1)
κλ,ευσεβ,5.2069472130388,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβῶς-κλ (1)
ἄν,ευσεβ,5.12840915285051,2,2,0,0,0,0,1,1,0,0,0,0,0,0,"εὐσεβέστερον-ἄν (1), εὐσεβοῖεν-ἄν (1)"
οὐ,ευσεβ,4.55509350635111,2,0,2,0,0,0,0,0,0,0,0,1,0,1,"εὐσεβηθῇ-οὐκ (1), εὐσεβής-οὐ (1)"
ὅσος,ευσεβ,4.55452565662563,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσέβειαν-ὅσα (1)
οἶδα,ευσεβ,4.46848162449896,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβές-εἰδέναι (1)
εἶπον,ευσεβ,4.26224913448095,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβῶς-εἰπεῖν (1)
μέγας,ευσεβ,4.24499382451177,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσέβειαν-μεγάλην (1)
ἄρα,ευσεβ,4.22082498855889,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβοῦς-ἄρα (1)
δεῖ,ευσεβ,4.11653828062117,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβῶς-δεῖ (1)
ἐκ,ευσεβ,3.66809374094009,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβοῦς-ἐκ (1)
οὐδείς,ευσεβ,3.61796700954437,1,1,0,0,0,0,1,0,0,0,0,0,0,0,εὐσεβέστερον-οὐδέν (1)
ἑαυτοῦ,ευσεβ,3.45256872475147,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβεῖς-αὑτῶν (1)
πολύς,ευσεβ,2.98997826315463,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσέβειαν-πολλήν (1)
εἰ,ευσεβ,2.62448360584676,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσεβῶς-εἴ (1)
οὖν,ευσεβ,2.31962556950748,1,0,1,0,0,0,0,0,0,0,1,0,0,0,εὐσεβοῖεν-οὖν (1)
φημί,ευσεβ,2.0303514432162,1,0,1,0,0,0,0,0,0,1,0,0,0,0,εὐσεβές-φῄς (1)
δή,ευσεβ,2.00345444306731,1,1,0,0,1,0,0,0,0,0,0,0,0,0,εὐσέβεια-δή (1)
ἐν,ευσεβ,1.98616621829569,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβῶς-ἐν (1)
γάρ,ευσεβ,1.69858448021114,1,1,0,0,0,1,0,0,0,0,0,0,0,0,εὐσεβοῖεν-γάρ (1)
λέγω,ευσεβ,1.67333224788308,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσέβεια-λέγεις (1)
ντ,ευσεβ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβεῖν-ντ (1)
ριτος,ευσεβ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσέβεια-ριτος (1)
θερα,ευσεβ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,εὐσέβεια-θερα (1)
ἀσεβέσ,ευσεβ,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,εὐσεβέστερον-ἀσεβέσ (1)
δαιμονεῖν,ευσεβ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσεβῶς-δαιμονεῖν (1)
χεται,ευσεβ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,εὐσέβειαν-χεται (1)
ευσεβ,ευσεβ,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,"εὐσεβεῖς-εὐσεβεῖς (0), εὐσεβοῖεν-εὐσεβοῖεν (0), εὐσεβεῖν-εὐσεβεῖν (0), εὐσεβῆ-εὐσεβῆ (0), εὐσέβεια-εὐσέβεια (0), εὐσεβείας-εὐσεβείας (0), εὐσεβῶν-εὐσεβῶν (0), εὐσεβηθῇ-εὐσεβηθῇ (0), εὐσεβές-εὐσεβές (0), εὐσεβέστερον-εὐσεβέστερον (0), εὐσεβῶς-εὐσεβῶς (0), εὐσέβειαν-εὐσέβειαν (0), εὐσεβοῦς-εὐσεβοῦς (0), εὐσεβής-εὐσεβής (0)"
